品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,26,3/3,,旧金山湾区长期极端降水指标、趋势与三日暴雨事件评估,NOAA站点日降水时序,时序监测点/日志事件记录,NOAA GHCN-Daily,NOAA Global Historical Climatology Network Daily (GHCN-Daily),科学类、地球科学研究人员,cn-all-remaining-0899-48762d98,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,27,3/3,,NOAA IGRA Kapuskasing Sounding Reconciliation Audit,探空站点时序数据,时序监测点/日志事件记录,NOAA NCEI (IGRA),NOAA National Centers for Environmental Information (NCEI),大气科学 / 高空气候数据工程,cn-all-remaining-1170-a70baa13,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,28,3/3,,NOAA IGRA Key West sounding structural and pressure-order audit,站点探空时序查询,时序监测点/日志事件记录,NOAA IGRA,IGRA,Atmospheric soun,cn-all-remaining-1223-b518ccc7,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,29,人工改判,gov-statistics-portal,复算并审计 EPA 2022–2024 全国臭氧设计值数据产品,选年份地区出表下载,单表统计/观测数据下载门户,臭氧监测站日汇总记录,EPA Air Quality System (AQS),环境监管 / 空气质量 / AQ,cn-all-remaining-0299-fe86cac8,gov-statistics-portal→weather-ocean-portal：EPA AQS 站点×日监测值
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,1,2/2,,UN Comtrade HS 2017→2022 商品分类迁移与贸易序列连续性审计,"无实体页,纯查询导出贸易表",单表统计/观测数据下载门户,各国商品进出口贸易记录,UN Comtrade,国际贸易统计 / 海关商品分类迁,cn-all-remaining-1145-c17d3877,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,2,2/2,,构建 CDC NNDSS 2023 第 52 周暂定值与最终年表调和审计,"无详情页,查询导出周报表",单表统计/观测数据下载门户,CDC NNDSS疾病监测周报记录,Centers for Disease Control and Prevention (CDC),公共卫生监测 / NNDSS /,cn-all-remaining-1165-1a802104,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,3,2/2,,EPA TRI PFAS 释放与废物管理变更控制核验,单表按年查询下载,单表统计/观测数据下载门户,EPA TRI设施-PFAS释放/废物记录,EPA (U.S. Environmental Protection Agency) GHGRP,环境合规 / 有毒化学品数据治理,cn-all-remaining-1176-1da3ce1d,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,4,2/2,,BTS-CBP 陆路口岸货运流量与月度连续性核验,月度口岸统计出表,单表统计/观测数据下载门户,陆路口岸月度货运记录,Bureau of Transportation Statistics (BTS),交通运输 / 陆路口岸运营数据质,cn-all-remaining-1180-0e2cadcc,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,5,2/2,,USDA RMA 农作物保险损失原因与赔款闭包核验,损失原因统计汇总,单表统计/观测数据下载门户,损失原因赔款记录,USDA Risk Management Agency,农业 / 农作物保险运营质控,cn-all-remaining-1183-ad6aeed5,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,6,2/2,,张掖市两期乡镇耕地质量指数PCA标定可比性与障碍因子转移审计,县域×年份指标出表无详情页,地区×年份统计矩阵,耕地质量评价数据平台(农业农村/自然资源系统),,农业科学、土地资源管理与多指标评,cn-all-remaining-0320-d8bc55d2,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,7,2/3,order-management,复现并审计美国交通部 2025 年 1 月航空准点率监管数据产品,承运人月度监管统计,订单/交易/支付/退款/物流流水,航班准点率记录,Bureau of Transportation Statistics (BTS),航空运营 / 监管数据工程 / ,cn-all-remaining-0296-45de6b63,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,8,2/3,lims,复现并审计 NHTSA 2024 FARS 超速致死事故监管数据产品,州/月致死事故统计,批次-样品-检验/QC记录(LIMS/MES),致死事故/车辆/人员记录,FARS (Fatality Analysis Reporting System),道路交通安全 / 监管数据工程 ,cn-all-remaining-0298-23ad7da2,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,9,2/3,weather-ocean-portal,NOAA 风暴事件月度灾损统计,NOAA事件表纯聚合导出无详情页,单表统计/观测数据下载门户,风暴事件记录,NOAA Storm Events Database, 应急管理与保险精算,cn-all-remaining-0481-7ab34177,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,10,2/3,weather-ocean-portal,风暴致死月度统计,NOAA双表关联月度统计导出,单表统计/观测数据下载门户,风暴事件与致死记录,NOAA Storm Events Database, 应急管理,cn-all-remaining-0482-4ad1c775,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,11,2/3,weather-ocean-portal,风暴事件类型归类统计,NOAA事件按类别归并统计导出,单表统计/观测数据下载门户,风暴事件记录,NOAA Storm Events Database,气候与应急管理,cn-all-remaining-0483-e7f016ec,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,12,2/3,weather-ocean-portal,风暴系统(episode)月度统计,NOAA系统级月度统计导出,单表统计/观测数据下载门户,风暴事件记录,NOAA Storm Events Database,气候监测,cn-all-remaining-0484-47ac327f,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,13,2/3,regulatory-registry,证券投资专业人员行业结构、人才配置与能力发展研究,从业人员登记统计数据,可检索档案库+详情页,国家职业分类大典/中国证券业协会数据,国家职业分类大典,商业和金融类、市场调查分析师（行,cn-all-remaining-0744-480b57b9,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,14,2/3,lims,构建 MSHA 2024 Part 50 矿山伤害、工时暴露与官方发布对账审计数据产品,官方年报表格对账,批次-样品-检验/QC记录(LIMS/MES),MSHA Part 50数据门户,Mine Safety and Health Administration (MSHA),矿山安全监管 / 事故与工时数据,cn-all-remaining-1096-067138a9,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,15,3/3,,匿名化产品级贸易面板上的出口管制政策评估：从缺陷原始数据到可复现的因果推断交付件,"产品-流向-年出表,纯查询导出",订单/交易/支付/退款/物流流水,产品-流向-年贸易流水,,经济学 / 国际贸易实证研究（计,cn-all-remaining-0019-034c6ce9,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,16,3/3,,IRS 2022–2023 县际迁移发布、披露与 Census 邻接走廊审计,无详情纯查询导出,单表统计/观测数据下载门户,县际迁移流入流出记录,IRS SOI,公共财政与区域规划 / 政府统计,cn-all-remaining-1091-55784277,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,17,3/3,,HUD 2025 财年小区域公平市场租金与住房券支付标准政策审计,地区+年份指标出表导出,单表统计/观测数据下载门户,县级/邮编公平市场租金与住房券支付标准记录,HUD,住房政策 / 地理空间监管数据工,cn-all-remaining-1192-e8a7b525,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,18,3/3,,联邦渔业库存状态季度迁移审计（NOAA 2024）,"季度状态表,无详情页",单表统计/观测数据下载门户,渔业库存状态记录,NOAA Fisheries,渔业监管数据 / 库存状态变更审,cn-all-remaining-1255-d3f1f3cb,
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,19,人工改判,,中国电动汽车企业进入英国市场行业研究,行业统计公开数据,单表统计/观测数据下载门户,行业统计与法规政策数据,Society of Motor Manufacturers and Traders,汽车类、行业研究,cn-all-remaining-0090-ab9a3d0b,退回 gov-statistics-portal：无参照站/无记录级数据，disposition: file，不进骨架适配流程
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,20,人工改判,,中国人力资源服务行业研究与区域型机构增长策略,行业统计与年报披露,单表统计/观测数据下载门户,人社部统计资料/上市公司年报披露平台,,行业研究,cn-all-remaining-0265-ae028604,退回 gov-statistics-portal：无参照站/无记录级数据，disposition: file，不进骨架适配流程
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,21,人工改判,,装配式建筑施工员职业机会、能力结构与培训产品研究,住建部公开数据查询导出,单表统计/观测数据下载门户,地方住建部门公开数据平台,,商业和金融类、市场调查分析师（行,cn-all-remaining-0735-cdbd1b4c,退回 gov-statistics-portal：无参照站/无记录级数据，disposition: file，不进骨架适配流程
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,22,人工改判,dataset-repository,构建 USDA Foundation Foods 分析谱系、营养素统计复核与 SR Legacy 跨版本对账产品,食品详情页+变量表+版本对比,可检索档案库+详情页,食品成分与营养素记录,USDA FoodData Central,食品成分数据治理 / 农业营养数,cn-all-remaining-1151-3a37412b,dataset-repository→gov-statistics-portal：USDA FoodData Central 是参考数据库，非数据集目录
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,23,人工改判,dataset-repository,NYC Yellow Taxi January 2023 — Multi-source Data Engineering Pipeline,TLC月度文件+数据字典下载,单表统计/观测数据下载门户,出租车行程记录,NYC Taxi & Limousine Commission (TLC) Trip Record Data,数据科学 / 数据工程（Data,cn-all-remaining-0302-299009d0,dataset-repository→gov-statistics-portal：NYC TLC 政府开放数据
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,24,人工改判,dataset-repository,构建 MTA 地铁 GTFS 服务日、班次模式与几何一致性审计数据产品,GTFS官方数据快照,数据集/资料仓库详情页,MTA GTFS (New York City Transit 官方 feed),MTA New York City Transit Subway GTFS,公共交通运营数据工程 / GTF,cn-all-remaining-0629-ce075e67,dataset-repository→gov-statistics-portal：MTA GTFS 运营方开放数据
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,25,人工改判,dataset-repository,MTA subway GTFS route-service-stop-shape topology audit,多表GTFS数据集,批次-样品-检验/QC记录(LIMS/MES),MTA,Metropolitan Transportation Authority (MTA),Public transit s,cn-all-remaining-1225-9a34fa3d,dataset-repository→gov-statistics-portal：MTA GTFS 运营方开放数据
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,26,人工改判,regulatory-registry,构建 EPA GHGRP California 2023 设施排放跨源审计产品,EPA设施排放申报检索详情,设备/资产台账+维护记录,设施-子部-气体排放明细,EPA (U.S. Environmental Protection Agency) GHGRP,环境合规 / 温室气体申报数据工,cn-all-remaining-0515-6253a2c7,regulatory-registry→gov-statistics-portal：GHGRP 排放统计
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,27,人工改判,regulatory-registry,FDIC/FFIEC 商业地产集中度、机构连续性与发布修订审计,银行机构财务检索+详情,可检索档案库+详情页,银行机构财务记录,FDIC BankFind,金融服务 / 银行监管数据工程 ,cn-all-remaining-0644-6f64bd2d,regulatory-registry→gov-statistics-portal：银行财务指标复算
gov-statistics-portal,政府统计与开放数据门户,BLS / EPA / 国家统计局,28,人工改判,regulatory-registry,构建美国财政部 2025Q1 国债拍卖生命周期、定价与配售审计数据产品,拍卖证券检索+生命周期,可检索档案库+详情页,国债拍卖记录,TreasuryDirect Auction Query,金融服务 / 美国国债一级市场 ,cn-all-remaining-0648-a8828ee9,regulatory-registry→gov-statistics-portal：国债拍卖市场数据
job-board,招聘岗位站,BOSS直聘 / Indeed,1,2/2,,云计算工程技术人员招聘样本清洗、职业任务映射与人才画像复现审计,招聘岗位样本清洗,招聘/公告类列表,云计算岗位,,行业研究、数字经济人才研究,cn-all-remaining-0411-51fd07e5,
job-board,招聘岗位站,BOSS直聘 / Indeed,2,2/2,,大数据工程技术人员岗位需求复盘与2027课程调整建议,招聘岗位复盘,招聘/公告类列表,大数据工程岗位,,行业研究、大数据工程技术人员,cn-all-remaining-0412-a20676d9,
job-board,招聘岗位站,BOSS直聘 / Indeed,3,2/2,,中国工业设计师人才需求与设计服务机会研究,岗位+设计中心名录,招聘/公告类列表,工业设计岗位与设计中心名录,,行业研究（工业设计与人才市场）,cn-all-remaining-0413-32af7365,
job-board,招聘岗位站,BOSS直聘 / Indeed,4,2/2,,图形算法工程师人才供需、技术栈与团队建设研究,图形算法岗位样本,招聘/公告类列表,图形算法岗位,,计算机软件、行业研究（图形算法工,cn-all-remaining-0415-4696e896,
job-board,招聘岗位站,BOSS直聘 / Indeed,5,2/2,,智能制造工程师招聘需求、薪酬与能力栈行业研究,招聘岗位样本记录,招聘/公告类列表,招聘岗位样本记录,,行业研究、智能制造人才市场研究,cn-all-remaining-0688-8dfc0c75,
job-board,招聘岗位站,BOSS直聘 / Indeed,6,2/2,,游戏技术美术（TA）人才市场、能力矩阵与团队配置研究,招聘岗位摘录记录,招聘/公告类列表,招聘岗位摘录记录,,商业类、行业研究分析师（游戏研发,cn-all-remaining-0689-df5209ab,
job-board,招聘岗位站,BOSS直聘 / Indeed,7,2/2,,药学专业人员岗位供需、能力缺口与流动风险研究,岗位列表带城市薪酬资格筛选,招聘/公告类列表,医药行业招聘平台/人才库,,行业研究、药学专业人员,cn-all-remaining-0324-4be0ddcf,
job-board,招聘岗位站,BOSS直聘 / Indeed,8,3/3,,福建—重庆公立医院内科医师招聘结构与配置研究,岗位公告搜索筛选,招聘/公告类列表,医院内科招聘岗位公告,,医疗卫生、行业研究（内科医师人力,cn-all-remaining-0323-3f584fd1,
job-board,招聘岗位站,BOSS直聘 / Indeed,9,3/3,,游戏测试工程师公开岗位样本清洗、能力结构分析与招聘门槛校核,岗位列表+筛选+详情,招聘/公告类列表,公开招聘岗位页,,行业研究、游戏行业人才与岗位研究,cn-all-remaining-0397-64a67ace,
job-board,招聘岗位站,BOSS直聘 / Indeed,10,3/3,,船舶与海洋工程师岗位需求景气度与能力结构研究,招聘岗位检索站,招聘/公告类列表,招聘岗位记录,,行业研究、船舶与海洋工程师,cn-all-remaining-0680-0d7a9db2,
job-board,招聘岗位站,BOSS直聘 / Indeed,11,3/3,,长三角光学工程师人才供需与岗位能力画像研究,岗位样本+候选人筛选,招聘/公告类列表,招聘岗位/候选人记录,,行业研究、光学工程师,cn-all-remaining-0767-325cc9a3,
job-board,招聘岗位站,BOSS直聘 / Indeed,12,3/3,,2026Q3美国半导体工艺工程师岗位需求、技能结构与薪酬基准研究,招聘JD快照为主体数据,招聘/公告类列表,招聘岗位/薪酬记录,,行业研究,cn-all-remaining-0777-7fadbfc2,
job-board,招聘岗位站,BOSS直聘 / Indeed,13,3/3,,2024Q4—2026Q2中国汽车工程师岗位需求、技能结构与人才优先级研究,招聘岗位快照数据,招聘/公告类列表,招聘岗位快照,,汽车类、行业研究,cn-all-remaining-0824-0de4494b,
job-board,招聘岗位站,BOSS直聘 / Indeed,14,3/3,,工程造价人员供需结构、岗位能力与薪酬区间专题研究,公开招聘岗位样本,招聘/公告类列表,招聘岗位,,行业研究、建筑业专业服务研究,cn-all-remaining-0870-cba7c850,
job-board,招聘岗位站,BOSS直聘 / Indeed,15,3/3,,装配式建筑施工员岗位需求、技能标准与培训差距研究,公开招聘岗位样本,招聘/公告类列表,招聘岗位,,行业研究、建筑业产业工人研究,cn-all-remaining-0874-e4cb0cfa,
job-board,招聘岗位站,BOSS直聘 / Indeed,16,3/3,,C++游戏开发工程师岗位需求、薪酬与能力结构研究,公开招聘岗位样本,招聘/公告类列表,招聘岗位,,行业研究、软件和信息技术服务业、,cn-all-remaining-0877-7a1ba25e,
job-board,招聘岗位站,BOSS直聘 / Indeed,17,3/3,,游戏AI开发工程师岗位需求、薪酬与能力结构研究,公开招聘岗位样本,招聘/公告类列表,招聘岗位,,行业研究、软件和信息技术服务业、,cn-all-remaining-0883-f91d65a1,
job-board,招聘岗位站,BOSS直聘 / Indeed,18,3/3,,游戏技术美术（TA）人才需求、能力缺口与团队编制研究,冻结招聘样本+岗位画像,招聘/公告类列表,招聘岗位,,游戏与互动内容、行业研究（游戏技,cn-all-remaining-0937-6374de20,
job-board,招聘岗位站,BOSS直聘 / Indeed,19,3/3,,六城市平面设计师岗位需求、薪酬与技能结构行业研究,招聘页面快照岗位,招聘/公告类列表,招聘网站岗位快照,,设计、文创与媒体-平面设计师,cn-all-remaining-0958-a386a245,
job-board,招聘岗位站,BOSS直聘 / Indeed,20,3/3,,工程项目经理公开招聘样本清洗、任职门槛与能力模型研究,公开招聘公告样本,招聘/公告类列表,公开招聘公告样本,,行业研究、工程建设项目管理,cn-all-remaining-0960-fd36102b,
job-board,招聘岗位站,BOSS直聘 / Indeed,21,3/3,,生物信息学工程师人才供需、技能栈与招聘策略研究,岗位列表筛选,招聘/公告类列表,招聘岗位,,行业研究（生物信息学工程师人才市,cn-all-remaining-1101-68974701,
job-board,招聘岗位站,BOSS直聘 / Indeed,22,3/3,,药物研发科学家人才供需、技能结构与团队配置研究,岗位+候选人样本数据,招聘/公告类列表,招聘岗位与候选人档案,,行业研究（药物研发科学家人才与研,cn-all-remaining-1104-be743d3f,
job-board,招聘岗位站,BOSS直聘 / Indeed,23,3/3,,平面设计师人才需求、技能结构与品牌视觉服务机会研究,设计岗位+客户线索,招聘/公告类列表,招聘岗位/客户线索记录,,行业研究（平面设计与创意人才市场,cn-all-remaining-1128-a9104579,
job-board,招聘岗位站,BOSS直聘 / Indeed,24,3/3,,智慧城市工程技术人才需求、技能结构与智慧城市项目机会研究,岗位+项目机会记录,招聘/公告类列表,智慧城市岗位与项目机会记录,,行业研究（智慧城市与数字政府工程,cn-all-remaining-1129-a5a00495,
job-board,招聘岗位站,BOSS直聘 / Indeed,25,3/3,,Unity开发工程师人才供需、技术栈与团队配置研究,Unity岗位记录,招聘/公告类列表,Unity岗位记录,,计算机软件、行业研究（Unity,cn-all-remaining-1130-de532a93,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,1,1/3,lims / spc-measurement,    300mm晶圆刻蚀工艺漂移、SPC/FDC根因分析与批次放行    ,批次量测放行判定,批次-样品-检验/QC记录(LIMS/MES),批次/晶圆量测与FDC记录,,    工程类、半导体工艺工程师,cn-all-remaining-0443-dc5f61f5,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,2,1/3,lims / spc-measurement,晶圆厂多站点SPC、良率归因与工艺窗口优化复核,批次良率处置方案,批次-样品-检验/QC记录(LIMS/MES),批次/晶圆工艺记录,,工程类—半导体工艺工程师,cn-all-remaining-0444-8561ae74,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,3,2/2,,CT1 光刻 CD 偏高异常根因分析、批次处置与工艺再资格,晶圆批次量测与放行,批次-样品-检验/QC记录(LIMS/MES),批次/晶圆/量测记录,,工程技术类、半导体工艺工程师,cn-all-remaining-0703-5714b5c0,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,4,2/3,back-office-ledger,汽车零部件制造企业5月生产成本明细核算及降本方案报告编制任务,生产工序物料消耗台账,批次-样品-检验/QC记录(LIMS/MES),生产批次/工序物料耗用记录,,制造业成本管控与财务分析,cn-all-remaining-0006-9effbd05,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,5,2/3,lims,12英寸晶圆厂M1光刻CD/Overlay漂移调查与批次处置,批次量测+处置+MES traveler,批次-样品-检验/QC记录(LIMS/MES),晶圆/批次量测记录(CD/Overlay),,工程类、半导体工艺工程师,cn-all-remaining-0759-3002eee7,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,6,2/3,audit-findings,临港北片区1:500地形图修测收尾排产、质量放行与批次交付,分幅批次工序放行,批次-样品-检验/QC记录(LIMS/MES),分幅生产日报/检查点/问题台账记录,,建筑、测绘与规划-生产经理,cn-all-remaining-0765-2e0c67fe,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,7,3/3,,3#楼4层PC构件进场判定、吊装日计划及安装质量闭环,构件逐件量测+放行判定,设备/资产台账+维护记录,PC构件进场/安装台账,,房地产、租赁与物业、装配式建筑施,cn-all-remaining-0813-0f341d0c,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,8,3/3,,电机轴精加工线OEE异常诊断与MC30两日生产排程校核,MES工单逐件量测放行,批次-样品-检验/QC记录(LIMS/MES),生产工单/设备报警/终检记录,,工程类、智能制造工程师,cn-all-remaining-0817-a25cf14a,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,9,3/3,,LPBF Inconel 718粉末、熔池、孔隙、力学、疲劳与热处理组织联合评审及航空结构件工艺定型判定,构建批次+工序+放行判定,批次-样品-检验/QC记录(LIMS/MES),批次样本检测结果,,科学类、材料科学研究人员,cn-all-remaining-0908-a1d40822,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,10,3/3,,低酸植物蛋白饮料UHT热力杀菌、无菌灌装、微生物挑战与加速货架期联合评审及量产放行判定,中试批次+工序+放行判定,批次-样品-检验/QC记录(LIMS/MES),批次生产与QC检测记录（灌装/微生物/稳定性/包装/卫生）,,科学类、食品科学研究人员,cn-all-remaining-0929-cfedb11d,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,11,3/3,,汽车外板IF钢LF-RH精炼、钙处理与连铸洁净度/浇次放行审计,炉次浇次工艺+放行审计,批次-样品-检验/QC记录(LIMS/MES),炉次/浇次工艺与检测记录,,工程类、冶金工程师,cn-all-remaining-0938-0175cfde,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,12,3/3,,盐酸二甲双胍片三批压片偏差复核、受影响物料界定与72小时产能恢复排产,批记录MES放行,批次-样品-检验/QC记录(LIMS/MES),批生产记录与MES报警事件,,医疗卫生、药品生产与质量管理（口,cn-all-remaining-0957-769c12d9,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,13,3/3,,    18号楼7层预制构件吊装、灌浆与质量闭环施工策划    ,构件批次+量测+放行,设备/资产台账+维护记录,广联达/装配式构件跟踪管理系统类,,    房地产、租赁与物业   ,cn-all-remaining-0882-fda27236,
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,14,人工改判,lims,车载摄像模组MTF、畸变、杂散光与热稳定量产准入判定,模组测试结果+准入判定,批次-样品-检验/QC记录(LIMS/MES),模组测试记录,,工程类—光学工程师,cn-all-remaining-0910-a483d04f,lims→mes-batch-release：多测试站、多温度、量产准入判定：生产放行而非实验室结果网格
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,15,人工改判,lims,车载1550nm激光雷达发射、接收、杂散光、温漂、眼安全与可靠性联合验收及整车道路验证准入判定,模组验收测试结果,单表统计/观测数据下载门户,模组光学验收记录,,工程类、光学工程师,cn-all-remaining-0912-51d4ac3e,lims→mes-batch-release：六类测试 424 项门槛的准入判定：生产放行
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,16,人工改判,lims,300 mm 氧化物刻蚀腔体 PM 后 Via CD 漂移根因分析、配方恢复与批次处置,批次量测+质控血缘,批次-样品-检验/QC记录(LIMS/MES),CD-SEM量测/FDC批次记录,,工程类、半导体工艺工程师,cn-all-remaining-0745-5cca1ad5,lims→mes-batch-release：FDC trace + 批次 HOLD/REVIEW/RELEASE：生产批次处置
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,17,人工改判,lims,28 nm接触孔光刻关键尺寸、套刻与焦距—曝光工艺窗口联合评审及批次放行判定,晶圆批次量测+放行判定,批次-样品-检验/QC记录(LIMS/MES),晶圆批次量测记录,,工程类、半导体工艺工程师,cn-all-remaining-0821-5446eadd,lims→mes-batch-release：晶圆批次量测 + 是否放行刻蚀：生产批次放行
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,18,人工改判,lims,ADAS前视摄像头镜头模组MTF、杂散光、光谱与DV/PV量产冻结审计,批次镜头光学检验,批次-样品-检验/QC记录(LIMS/MES),镜头模组光学测试记录,,工程类、光学工程师,cn-all-remaining-0941-29ec8b45,lims→mes-batch-release：逐件正品/返调/降级/隔离 + 批次冻结：生产放行
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,19,人工改判,spc-measurement,电驱壳体轴承孔尺寸漂移分析与过程能力改善验证,尺寸量测+控制图判异,批次-样品-检验/QC记录(LIMS/MES),尺寸检验与加工参数记录,,工程类、质量工程师,cn-all-remaining-0746-667d6a72,spc-measurement→mes-batch-release：建站反馈：形状同为 批次×工序/单件×测量值+规格限→放行判定，mes 骨架已服务
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,20,人工改判,spc-measurement,汽车连接器注塑件关键尺寸SPC分析、过程能力评估与量产放行判定    ,子组+控制图+Cpk,批次-样品-检验/QC记录(LIMS/MES),注塑件质检子组记录,,汽车工程、质量管理,cn-all-remaining-0291-e8bd6c4c,spc-measurement→mes-batch-release：建站反馈：形状同为 批次×工序/单件×测量值+规格限→放行判定，mes 骨架已服务
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,21,人工改判,spc-measurement,注塑连接器壳体关键尺寸过程能力、异常批次与放行门槛核验,尺寸Cpk控制图,批次-样品-检验/QC记录(LIMS/MES),关键尺寸测量记录,,工程类、质量工程师、制造过程质量,cn-all-remaining-0948-b0c93dc1,spc-measurement→mes-batch-release：建站反馈：形状同为 批次×工序/单件×测量值+规格限→放行判定，mes 骨架已服务
mes-batch-release,生产执行与批次放行 MES,Siemens Opcenter,22,人工改判,spc-measurement,精密轴尺寸 SPC、过程能力与异常事件关联分析,X-bar-R控制图与量测台账,批次-样品-检验/QC记录(LIMS/MES),MES/QMS 质量管理系统,,工程类 / 质量工程师,cn-all-remaining-0089-ab3b3a3c,spc-measurement→mes-batch-release：建站反馈：形状同为 批次×工序/单件×测量值+规格限→放行判定，mes 骨架已服务
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,1,2/2,,构建 NVD/CISA 漏洞情报规范化与时态修复优先级数据产品,CVE/KEV登记库详情,可检索档案库+详情页,CVE漏洞记录/KEV目录条目,National Vulnerability Database (NVD),网络安全 / 漏洞情报工程 / ,cn-all-remaining-0207-8b063b46,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,2,2/2,,USFWS 受威胁与濒危物种法定名录及关键栖息地变更核验,物种登记+法律状态史,可检索档案库+详情页,受威胁濒危物种法定名录记录,ECOS (Environmental Conservation Online System),环境监管 / 濒危物种法数据治理,cn-all-remaining-1185-d7d58067,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,3,3/3,,构建 FDA Orange Book 专利、独占期与治疗等效跨库监管审计数据产品,橙皮书专利记录,可检索档案库+详情页,药品申请/专利/独占期/治疗等效记录,FDA Orange Book,制药监管数据工程 / Regul,cn-all-remaining-0630-3d193fa5,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,4,3/3,,构建 FDA Orange Book 药品监管组合仓库与 Drugs@FDA 跨系统审计,橙皮书组合审计,可检索档案库+详情页,药品监管组合与产品对账记录,FDA Orange Book,生物医药 / 药品监管数据工程 ,cn-all-remaining-0635-08f8465d,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,5,3/3,,构建 OFAC SDN 多语身份图谱与三格式制裁数据合规审计产品,SDN主体检索详情页,可检索档案库+详情页,受制裁实体(SDN)记录,Office of Foreign Assets Control (OFAC),数据工程 / 金融合规 / 监管,cn-all-remaining-0642-a70454dd,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,6,3/3,,上海绿色建筑标识服务市场与绿色建筑工程师产能研究,绿色建筑标识检索,招聘/公告类列表,绿色建筑标识项目,,行业研究、绿色建筑工程,cn-all-remaining-0679-f7d822c2,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,7,3/3,,FDA Orange Book application-level patent and exclusivity integrity aud,原文即FDA Orange Book范例,可检索档案库+详情页,药品/专利/排他性记录,FDA Orange Book,Pharmaceutical r,cn-all-remaining-1218-8fa644b4,
