形态族,族内序号,一致度,任务名,记录类型,操作,判断依据,已知来源,行业,custom_id,我的判断(留空待填)
批次-样品-检验/QC记录(LIMS/MES),39,3/3,退役金属加工厂地下水氯代烃监测质控、趋势判定与羽流复核,监测井采样与水质结果,筛选+详情展开+跨表关联+导出,监测井/样品按井号季度可筛选导出,,科学类、环境科学家,cn-all-remaining-0950-9dedf66d,
批次-样品-检验/QC记录(LIMS/MES),40,3/3,盐酸二甲双胍片三批压片偏差复核、受影响物料界定与72小时产能恢复排产,批生产记录与MES报警事件,筛选+详情展开+跨表关联+导出,批号/容器/记录编号可交叉筛选,,医疗卫生、药品生产与质量管理（口,cn-all-remaining-0957-769c12d9,
批次-样品-检验/QC记录(LIMS/MES),41,3/3,片剂稳定性统计复核与货架期建议,稳定性检验明细（批次/时间点/项目结果行）,筛选+详情展开+导出+跨表关联,类LIMS批次检验结果行，可按批次时间筛选,,药学专业人员,cn-all-remaining-1131-804a6ac8,
批次-样品-检验/QC记录(LIMS/MES),42,3/3,USDA SSURGO Sonoma Soil Foundation Interpretation Audit,SSURGO图斑/构件/土层记录,搜索+筛选+导出+跨表关联,Soil Data Access按区域查询的图斑构件库,USDA Soil Data Access,环境岩土工程 / 土壤调查 / ,cn-all-remaining-1163-87b43970,
批次-样品-检验/QC记录(LIMS/MES),43,3/3,NASA CNEOS 与 ESA NEOCC 近地天体撞击风险联合审计,近地天体撞击风险记录(Sentry/NEOCC虚拟撞击体与风险名单),搜索+筛选+导出+跨表关联,Sentry/NEOCC是可查询筛选的撞击风险记录门户,NASA/JPL CNEOS Sentry,科学计算 / 行星防御 / 风险,cn-all-remaining-1190-ee12ce0a,
批次-样品-检验/QC记录(LIMS/MES),44,3/3,NCBI SRA 与 ENA 测序研究、样本及运行元数据治理审计,SRA/ENA测序运行元数据记录,搜索+筛选+详情展开+导出+跨表关联,NCBI/ENA是可检索的测序档案数据库,National Center for Biotechnology Information (NCBI),科研数据治理 / INSDC 测,cn-all-remaining-1252-1e0765a9,
单表统计/观测数据下载门户,1,2/3,柏林气象温度递归多步预测,气象站逐小时观测记录,搜索+筛选+导出,Open-Meteo按坐标和日期区间查询导出的历史观测记录,Open-Meteo,气象与环境工程,cn-all-remaining-0209-c0b07690,
单表统计/观测数据下载门户,2,2/3,密西西比河日流量递归多步预测,USGS站点逐日流量观测记录,搜索+筛选+导出,数据门户按站点日期查询下载,USGS Water Data,水文与防汛工程,cn-all-remaining-0253-e224ded0,
单表统计/观测数据下载门户,3,2/3,北京 PM2.5 递归多步预测,空气质量逐小时观测记录,筛选+导出,Open-Meteo为可按地区/时间查询下载的数据门户,Open-Meteo,环境工程,cn-all-remaining-0278-95674282,
单表统计/观测数据下载门户,4,2/3,复算并审计 EPA 2022–2024 全国臭氧设计值数据产品,臭氧监测站日汇总记录,筛选+导出,"EPA AQS数据门户站点日汇总,可按站点年份查询",EPA Air Quality System (AQS),环境监管 / 空气质量 / AQ,cn-all-remaining-0299-fe86cac8,
单表统计/观测数据下载门户,5,2/3,NYC Yellow Taxi January 2023 — Multi-source Data Engineering Pipeline,出租车行程记录,筛选+导出,TLC门户按年月查询下载行程数据,NYC Taxi & Limousine Commission (TLC) Trip Record Data,数据科学 / 数据工程（Data,cn-all-remaining-0302-299009d0,
单表统计/观测数据下载门户,6,2/3,在线招聘渠道续约复盘、RFP对账与2026采购策略,ATS招聘渠道月度汇总记录,筛选+导出,招聘平台后台ATS月报与费用台账,,行业研究、人力资源服务,cn-all-remaining-0322-c294fc85,
单表统计/观测数据下载门户,7,2/3,风暴致死月度统计,风暴事件与致死记录,筛选+导出+跨表关联,同NOAA门户，两表按EVENT_ID关联查询导出,NOAA Storm Events Database, 应急管理,cn-all-remaining-0482-4ad1c775,
单表统计/观测数据下载门户,8,2/3,风暴事件类型归类统计,风暴事件记录,筛选+导出+跨表关联,同NOAA门户，按事件类型查表归类导出,NOAA Storm Events Database,气候与应急管理,cn-all-remaining-0483-e7f016ec,
单表统计/观测数据下载门户,9,2/3,账户状态枚举与接口契约统一,账户状态案例记录,筛选+导出,账号状态冲突/一致案例，典型后台账户列表数据,,后台管理系统,cn-all-remaining-0577-09649bc4,
单表统计/观测数据下载门户,10,2/3,PVDAQ实测光伏数据源尽调与运维对标样本库构建,PVDAQ光伏系统清单,筛选+排序+导出,systems清单是可按字段筛的系统目录,NREL PVDAQ,工程类、新能源工程师,cn-all-remaining-0741-4360744e,
单表统计/观测数据下载门户,11,2/3,凤凰城高温阈值方法缺陷定位、历史复算与发布门槛核验,气象站逐日观测记录,搜索+筛选+导出,GHCN-Daily是NOAA站点数据门户,GHCN-Daily,行业研究、气象服务（气象学家）,cn-all-remaining-0845-a6a750c1,
单表统计/观测数据下载门户,12,2/3,IRS 2022–2023 县际迁移发布、披露与 Census 邻接走廊审计,县际迁移流入流出记录,筛选+导出+跨表关联,IRS SOI按州/年份查询下载迁移数据,IRS SOI,公共财政与区域规划 / 政府统计,cn-all-remaining-1091-55784277,
单表统计/观测数据下载门户,13,2/3,BTS-CBP 陆路口岸货运流量与月度连续性核验,陆路口岸月度货运记录,搜索+筛选+导出,BTS按口岸/月份/类别查询下载,Bureau of Transportation Statistics (BTS),交通运输 / 陆路口岸运营数据质,cn-all-remaining-1180-0e2cadcc,
单表统计/观测数据下载门户,14,2/3,HUD 2025 财年小区域公平市场租金与住房券支付标准政策审计,县级/邮编公平市场租金与住房券支付标准记录,筛选+导出+跨表关联,HUD按年度/地区可查询下载的租金标准数据,HUD,住房政策 / 地理空间监管数据工,cn-all-remaining-1192-e8a7b525,
单表统计/观测数据下载门户,15,2/3,联邦渔业库存状态季度迁移审计（NOAA 2024）,渔业库存状态记录,搜索+筛选+排序+导出,NOAA渔业库存状态是可查询统计报表,NOAA Electronic Navigational Chart (ENC),渔业监管数据 / 库存状态变更审,cn-all-remaining-1255-d3f1f3cb,
单表统计/观测数据下载门户,16,3/3,德国电力负荷月度预测管道,电网逐时负荷/发电记录,筛选+导出,"电网历史库,可按时间范围查询下载",Open Power System Data,电力系统,cn-all-remaining-0072-1e08f36f,
单表统计/观测数据下载门户,17,3/3,中国电动汽车企业进入英国市场行业研究,行业统计与法规政策数据,搜索+筛选+导出,SMMT等统计数据门户可按年份/指标查询下载,Society of Motor Manufacturers and Traders,汽车类、行业研究,cn-all-remaining-0090-ab9a3d0b,
单表统计/观测数据下载门户,18,3/3,2020 Magna真实地震序列完整性、b值、Omori衰减与空间结构联合分析,地震事件记录（位置/震级/质量）,搜索+筛选+导出,USGS FDSN 事件Web服务按时间空间震级条件查询目录,USGS FDSN Event Web Service,科学类、地球科学研究人员,cn-all-remaining-0135-8319cf05,
单表统计/观测数据下载门户,19,3/3,真实 SKS 剪切波分裂测量与上地幔各向异性评估,远震事件波形目录条目,搜索+筛选+导出,events.csv为按震中距/震级筛选导出的事件目录,IU.COLA,科学类、地球科学研究人员,cn-all-remaining-0163-f216c49f,
单表统计/观测数据下载门户,20,3/3,开普敦太阳辐射递归多步预测,气象站历史观测记录,搜索+筛选+导出,Open-Meteo数据门户按地点日期查询,Open-Meteo,新能源工程,cn-all-remaining-0346-54ee7ce2,
单表统计/观测数据下载门户,21,3/3,东京地面气压递归多步预测,气象站历史观测记录,搜索+筛选+导出,Open-Meteo数据门户按地点日期查询,Open-Meteo,气象工程,cn-all-remaining-0348-e08b7fe5,
单表统计/观测数据下载门户,22,3/3,上海相对湿度递归多步预测,逐小时天气观测记录,筛选+导出,Open-Meteo为按地区/时间/指标查询下载的数据门户,Open-Meteo,环境工程,cn-all-remaining-0349-c13fb8d4,
单表统计/观测数据下载门户,23,3/3,希腊逐小时电力负荷预测管道,逐小时电网负荷记录,筛选+导出,ENTSO-E电力统计门户，按国家/时间查询下载,Open Power System Data,电力,cn-all-remaining-0352-61295765,
单表统计/观测数据下载门户,24,3/3,北京参考作物蒸散量(ET0)预测,逐小时气象观测/预报记录,筛选+导出,Open-Meteo数据门户，按地区/时段/指标查询下载,Open-Meteo,农业水利工程,cn-all-remaining-0477-0fe64a0f,
单表统计/观测数据下载门户,25,3/3,NOAA 风暴事件月度灾损统计,风暴事件记录,筛选+导出,NOAA Storm Events是可按州/年/类型查询导出的政府数据门户,NOAA Storm Events Database, 应急管理与保险精算,cn-all-remaining-0481-7ab34177,
单表统计/观测数据下载门户,26,3/3,风暴系统(episode)月度统计,风暴事件记录,筛选+导出,同NOAA门户，按episode/州/月统计导出,NOAA Storm Events Database,气候监测,cn-all-remaining-0484-47ac327f,
单表统计/观测数据下载门户,27,3/3,美国平面设计师职业市场与AI转型研究,职业统计条目(BLS/O*NET/WEF),搜索+筛选+导出,BLS等统计门户按职业/年份查询导出,Bureau of Labor Statistics (BLS),商业类、行业研究分析师（创意服务,cn-all-remaining-0674-84436791,
单表统计/观测数据下载门户,28,3/3,美国航空航天工程师人才市场、薪酬与能力结构研究（2024-2034）,BLS职业统计指标记录,搜索+筛选+导出,BLS/O*NET官方数据门户按职业查询,Bureau of Labor Statistics Occupational Outlook Handbook (OOH),行业研究、航空航天工程师,cn-all-remaining-0692-1233fccb,
单表统计/观测数据下载门户,29,3/3,美国石油工程师就业、薪酬与技能结构行业研究,BLS OEWS职业统计记录,搜索+筛选+导出,BLS OEWS/O*NET数据门户按SOC查询,Bureau of Labor Statistics (BLS),行业研究、能源工程人才市场,cn-all-remaining-0693-64f8726a,
单表统计/观测数据下载门户,30,3/3,美国平面设计师用工市场、薪酬与技能结构研究,职业地区/行业薪资统计记录,筛选+排序+导出+跨表关联,BLS OEWS数据门户可按地区行业查询下载,Bureau of Labor Statistics Occupational Outlook Handbook (OOH),商业类、行业研究分析师,cn-all-remaining-0723-215c4ee4,
单表统计/观测数据下载门户,31,3/3,美国机械工程师用工市场、薪酬与产业分布研究,职业地区/行业薪资统计记录,筛选+排序+导出+跨表关联,BLS OEWS数据门户可按地区行业查询下载,Bureau of Labor Statistics Occupational Employment and Wage Statistics (OEWS),商业类、行业研究分析师,cn-all-remaining-0724-5140b215,
单表统计/观测数据下载门户,32,3/3,美国微生物学家人才市场与岗位能力基准研究,职业就业/薪资/预测统计记录,筛选+排序+导出,BLS/O*NET数据门户可按职业查询导出,Bureau of Labor Statistics (BLS),商业和金融类、市场调查分析师（行,cn-all-remaining-0729-3456fff7,
单表统计/观测数据下载门户,33,3/3,五因子另类风险溢价基金无前视回测、风险预算与绩效归因,五因子日收益率数据,筛选+导出,明确来源Fama/French数据门户,Fama/French Data Library (Kenneth R. French),金融与证券、基金量化研究员,cn-all-remaining-0795-2d469bcb,
单表统计/观测数据下载门户,34,3/3,美国平面设计师薪酬市场与技能需求研究（加州—得州）,地区薪酬统计行(OEWS),筛选+导出,"州/都会区薪酬按地区可查询下载,属统计数据门户",,    设计、文创与媒体    ,cn-all-remaining-0853-2e697bcb,
单表统计/观测数据下载门户,35,3/3,车载1550nm激光雷达发射、接收、杂散光、温漂、眼安全与可靠性联合验收及整车道路验证准入判定,模组光学验收记录,筛选+导出,模组/样本字段的激光雷达检测结果表,,工程类、光学工程师,cn-all-remaining-0912-51d4ac3e,
单表统计/观测数据下载门户,36,3/3,AME2016—AME2020 Ca/Ni/Sn 核质量系统学重建、壳隙复核与版本更新审计,核素质量条目,筛选+导出,AME数据源自IAEA/AMDC统计数据门户，可按核素查询,IAEA/AMDC,物理类、核物理研究员（核结构/核,cn-all-remaining-1112-88167b19,
单表统计/观测数据下载门户,37,3/3,城市交通变化桑基图,城市交通变化统计记录,筛选+导出,各城市多维指标类统计门户可查询下载的记录,,数据可视化与信息图,cn-all-remaining-1140-3069d89e,
单表统计/观测数据下载门户,38,3/3,UN Comtrade HS 2017→2022 商品分类迁移与贸易序列连续性审计,各国商品进出口贸易记录,搜索+筛选+导出,Comtrade可按国家商品年份查询导出,UN Comtrade,国际贸易统计 / 海关商品分类迁,cn-all-remaining-1145-c17d3877,
单表统计/观测数据下载门户,39,3/3,NASA–ESA 系外行星星历、宿主星天体测量与多系统观测就绪审计,系外行星与宿主星参数记录,搜索+筛选+排序+导出,Exoplanet Archive表可查询筛选导出,NASA Exoplanet Archive (Planetary Systems table),天文学 / 科研数据治理 / 系,cn-all-remaining-1146-6532ab9d,
单表统计/观测数据下载门户,40,3/3,构建 CDC NNDSS 2023 第 52 周暂定值与最终年表调和审计,CDC NNDSS疾病监测周报记录,搜索+筛选+导出,Socrata官方门户可按疾病/周查询导出,Centers for Disease Control and Prevention (CDC),公共卫生监测 / NNDSS /,cn-all-remaining-1165-1a802104,
单表统计/观测数据下载门户,41,3/3,EPA TRI PFAS 释放与废物管理变更控制核验,EPA TRI设施-PFAS释放/废物记录,搜索+筛选+导出,TRI为可按设施/化学品/年份查询的数据库,EPA (U.S. Environmental Protection Agency) GHGRP,环境合规 / 有毒化学品数据治理,cn-all-remaining-1176-1da3ce1d,
单表统计/观测数据下载门户,42,3/3,NCUA 2024 年信用合作社资本充足与复杂机构分类生命周期审计,信用社季度Call Report记录,搜索+筛选+导出,NCUA按机构季度可查询下载财务数据,National Credit Union Administration (NCUA),金融监管 / 信用合作社审慎资本,cn-all-remaining-1182-3a8e8666,
单表统计/观测数据下载门户,43,3/3,USDA RMA 农作物保险损失原因与赔款闭包核验,损失原因赔款记录,搜索+筛选+导出,RMA可按州/年/作物/灾因查询损失数据,USDA Risk Management Agency,农业 / 农作物保险运营质控,cn-all-remaining-1183-ad6aeed5,
单表统计/观测数据下载门户,44,3/3,FCC E-Rate 2023 资金年度学校宽带折扣、承诺与拨款生命周期审计,E-Rate资助申请与承诺记录,搜索+筛选+导出,USAC开放数据可按学校/类别查询导出,USAC,电信监管 / 教育宽带数据工程,cn-all-remaining-1188-be477324,
时序监测点/日志事件记录,1,2/3,多空动量策略历史回测,股票日线行情记录,搜索+筛选+导出,40只美股日线行情通常从行情终端按代码日期导出,,金融与证券,cn-all-remaining-0008-8a350880,
时序监测点/日志事件记录,2,2/3,    手游限时活动奖励、兑换商店与经济闭环自动化回归审计    ,玩家活动行为与发奖原始记录,搜索+筛选+导出+跨表关联,"玩家事件+request_id记录,似GM后台行为日志查询",,    游戏与互动内容、游戏自动,cn-all-remaining-0328-9e64a75f,
时序监测点/日志事件记录,3,2/3,10 kV园区馈线分布式光伏承载力与改造方案校核,馈线设备/负荷曲线,筛选+详情展开+导出,设备台账+历史库曲线查询，类历史库位号,,行业研究、电力系统工程师,cn-all-remaining-0705-ab3d6465,
时序监测点/日志事件记录,4,2/3,匿名化工园区氯代烯烃地下水污染羽与自然衰减证据评估,监测井/VOC采样记录,筛选+跨表关联+导出,环境监测数据库按井、批次、化合物查询导出,,科学类、环境科学家,cn-all-remaining-0716-978e33d8,
时序监测点/日志事件记录,5,2/3,CISO 2021Q3 净负荷爬坡与负荷预测偏差复核,电网小时运行数据记录,筛选+导出,EIA-930官方数据门户按区域日期查询下载,EIA Form 930 (Hourly Electric Grid Monitor),行业研究、电力系统工程师,cn-all-remaining-0863-d6bf7ae0,
时序监测点/日志事件记录,6,2/3,北加州 Cloverdale M4.24 事件后目录流水线方法缺陷审计、完备震级复算与发布门槛核验,地震目录事件记录,搜索+筛选+导出,"USGS地震目录门户,可查询下载",USGS Earthquake Hazards Program,地球科学、地震科学研究员）,cn-all-remaining-1126-ac0908b4,
时序监测点/日志事件记录,7,2/3,加州污水监测人口覆盖与连续性审计（CDC 2025）,污水监测站点与人口普查记录,搜索+筛选+导出+跨表关联,NWSS/Census是可查询的统计数据门户,CDC National Wastewater Surveillance System (NWSS),公共卫生监测网络规划 / 数据质,cn-all-remaining-1254-9691ae4f,
时序监测点/日志事件记录,8,3/3,机房运维多变量时序异常检测管道,服务器运维指标时序(按机器),搜索+筛选+详情展开+导出,"运维监控历史库,按机器/窗口查询",Server Machine Dataset (SMD),ML-Ops 与可观测性,cn-all-remaining-0063-4a16f58b,
时序监测点/日志事件记录,9,3/3,    夏季城市热岛、连续热浪与遥感地表温度回归的可复现科学分析    ,气象站逐小时观测与卫星地表温度场景,搜索+筛选+导出+跨表关联,"站点+时间戳观测,类监控历史库位号趋势查询",,环境科学,cn-all-remaining-0330-f8d853da,
时序监测点/日志事件记录,10,3/3,工业空压站能效审计、停机保压泄漏核算与联控节能改造校核,压缩机运行数据与泄漏/维护记录,筛选+导出+排序,10分钟粒度多台位号趋势数据，类历史库趋势查询,,机械工程,cn-all-remaining-0395-459e966d,
时序监测点/日志事件记录,11,3/3,近海日尺度海温质量控制、海洋热浪事件识别与监测发布边界核验,海域分区日尺度SST监测数据,筛选+导出,分区+日期检索的监测历史库，类似位号趋势查询,,科学研究类,cn-all-remaining-0398-6d389a9a,
时序监测点/日志事件记录,12,3/3,企业云身份入侵多源日志时间线重建、会话归因与控制有效性复核,多源系统安全事件/告警日志,搜索+筛选+导出+跨表关联,"IAM/VPN/EDR日志,类SIEM可查询导出",,信息技术与AI、信息安全测试员,cn-all-remaining-0431-139098e2,
时序监测点/日志事件记录,13,3/3,工业园区微电网日前调度、N-1韧性与方案放行评估,母线/线路测量与调度记录,筛选+导出+跨表关联,母线线路时段测量类似历史库点表,,工程类、电力系统工程师,cn-all-remaining-0439-e36f8864,
时序监测点/日志事件记录,14,3/3,三级医院既有综合楼近零能耗改造与绿色建筑三星预评估,楼宇BMS小时能耗记录,筛选+导出+跨表关联,BMS小时数据类似历史库趋势查询,,建筑、测绘与规划,cn-all-remaining-0440-a3ce5637,
时序监测点/日志事件记录,15,3/3,工业园区微电网多时段潮流、储能调度与N-1保护配合复核,母线/线路运行测量记录,筛选+导出+跨表关联,母线线路时段测量类似历史库点表,,工程类—电力系统工程师,cn-all-remaining-0441-8ac911fe,
时序监测点/日志事件记录,16,3/3,工作台路由耗时观测与诊断端点,路由诊断事件,筛选+排序+导出,事件含路由/耗时/状态码，类监控库可查询记录,,信息技术（后端可观测性）,cn-all-remaining-0493-755ec260,
时序监测点/日志事件记录,17,3/3,构建 NOAA Hurricane Ian 潮位站风暴增水、垂直基准与洪水阈值审计产品,潮位站观测/预测记录,搜索+筛选+导出,CO-OPS按站点/产品/日期范围查询导出,National Hurricane Center (NHC),海岸工程 / 海洋观测数据工程 ,cn-all-remaining-0652-b9c7d500,
时序监测点/日志事件记录,18,3/3,PHE-204换热器性能衰减诊断与停机清洗窗口决策,DCS历史库测点趋势记录,搜索+筛选+导出,历史库按位号/时间段查询导出的趋势数据,,工程类、化工工程师（工艺工程师）,cn-all-remaining-0758-4e0bb5b1,
时序监测点/日志事件记录,19,3/3,东城片区5G无线网扩容与优化优先级评估,5G小区KPI/路测/投诉记录,筛选+导出+跨表关联,网管KPI与投诉按小区批量导出脱敏,,行业研究、通信工程师,cn-all-remaining-0770-159164f2,
时序监测点/日志事件记录,20,3/3,10 kV工业园区馈线分时潮流与分布式光伏接入承载力评估,SCADA位号量测/馈线记录,搜索+筛选+导出,SCADA快照与曲线，位号可查询,SCADA,工程类、电力系统工程师,cn-all-remaining-0784-a74f0a42,
时序监测点/日志事件记录,21,3/3,工业园区微电网故障录波、保护配合、储能黑启动与并网准入判定,故障录波/PMU/保护动作记录,筛选+导出+跨表关联,类监控历史库位号与事件时序数据,,工程类—电力系统工程师,cn-all-remaining-0804-65e4e048,
时序监测点/日志事件记录,22,3/3,T-301甲醇回收精馏塔物料衡算校正与节能操作窗口优化,DCS历史数据/化验分析记录,筛选+跨表关联+导出,过程历史库位号趋势式数据,,工程类、化工工程师,cn-all-remaining-0815-9624faf6,
时序监测点/日志事件记录,23,3/3,5G NR园区路测KPI分析、切换根因定位与优化闭环,路测KPI与告警记录,筛选+导出+跨表关联,OSS小时KPI与路测数据属监控历史库查询,,工程类、通信工程师,cn-all-remaining-0828-6335c106,
时序监测点/日志事件记录,24,3/3,5G NR园区路测KPI分析、切换根因定位与优化闭环,路测采样点/小区KPI记录,筛选+翻页+导出+跨表关联,类网管系统路测/OSS/KPI记录,,工程类、通信工程师,cn-all-remaining-0830-86a394d4,
时序监测点/日志事件记录,25,3/3,工业物联网时序数据迟到事件重放、设备日指标与告警补算,设备时序事件,筛选+导出+跨表关联,设备ID/时间戳的物联网历史事件流,,信息技术与AI、大数据工程技术人,cn-all-remaining-0909-121120de,
时序监测点/日志事件记录,26,3/3,消费电子工厂0.4kV配电系统电能质量、无功补偿与保护整定整改冻结复核,变压器/馈线电能质量监测点位记录,筛选+导出+跨表关联,多变压器/馈线5分钟遥测，类监控历史库趋势查询,,工程类、电气工程师,cn-all-remaining-0934-444b3c56,
时序监测点/日志事件记录,27,3/3,大型会展中心5G室内分布系统覆盖、切换、容量与故障回退联合验收及商用开通判定,路测/切换/KPI记录,筛选+导出+跨表关联,网管路测KPI为位号趋势记录,,工程类、通信工程师,cn-all-remaining-0943-467f2a4f,
时序监测点/日志事件记录,28,3/3,LYO-03冻干机抽真空超时偏差调查、参数恢复验证与PM表单修订,设备批次趋势与报警事件,筛选+翻页+详情展开+导出,PLC/HMI历史库位号趋势可按批查询,,医疗卫生、制药工程设备工程师,cn-all-remaining-0955-5ce45980,
时序监测点/日志事件记录,29,3/3,PW-01纯化水系统季度回顾底稿修复、异常证据链复核与QA评审材料输出,BMS水质趋势与消毒维护记录,筛选+翻页+导出,历史库位号趋势按时间窗查询,,医疗卫生、制药工程、药企公用系统,cn-all-remaining-0956-fb447e98,
时序监测点/日志事件记录,30,3/3,空气质量监测数据核验与发布封板审计,空气质量监测记录,搜索+筛选+翻页+导出,监测站点数据门户，可按站点/时段查询导出,,环境监测 / 大气科学,cn-all-remaining-0975-ea568465,
时序监测点/日志事件记录,31,3/3,交通流核验与发布封板审计,交通检测点记录,搜索+筛选+翻页+导出,交通监控历史库的位号趋势查询与导出,,交通工程 / 智能交通,cn-all-remaining-0977-49dbb8c6,
时序监测点/日志事件记录,32,3/3,水质评价核验与发布封板审计,水质监测记录,搜索+筛选+翻页+导出,水质监测站点数据门户，可按断面/时段导出,,环境监测 / 水环境科学,cn-all-remaining-0978-44ed4df9,
时序监测点/日志事件记录,33,3/3,声学噪声评价核验与发布封板复核,噪声监测节点记录,搜索+筛选+翻页+导出,噪声监测网络节点历史数据可查询导出,,声学工程 / 环境噪声评价、自动,cn-all-remaining-0979-0d29ab51,
时序监测点/日志事件记录,34,3/3,USGS–NOAA River Gauge Rating and Flood Audit,河流水位站日值观测记录,搜索+筛选+导出+跨表关联,USGS按站点检索的日值/评级曲线数据库,USGS Earthquake Hazards Program,水文学 / 洪水运营 / 环境数,cn-all-remaining-1162-11cb0898,
企业运营台账(CRM/合同/采购/项目/库存),1,2/3,医药商业出库台账波动归因与集中暴露可复验审计,医药出库订单明细,筛选+跨表关联+导出,ERP出库台账逐行记录，可按订单/客户筛选,,商业运营、医药流通数据审计与物流,cn-all-remaining-0318-6f22c371,
企业运营台账(CRM/合同/采购/项目/库存),2,2/3,人民币固收组合估值、联合压力与调仓放行审计,债券持仓/发行人/评级记录,搜索+筛选+导出+跨表关联,持仓、发行人、评级、曲线表可筛选导出,,金融与证券,cn-all-remaining-0433-48b9ac95,
企业运营台账(CRM/合同/采购/项目/库存),3,2/3,Word考核表原生与HTML渲染模式整合：字段投影与精确拒绝,员工考核评估记录,筛选+详情展开+导出,考核表数据源自可查询的评估记录库,,文档自动化,cn-all-remaining-0594-0e93fd4c,
企业运营台账(CRM/合同/采购/项目/库存),4,2/3,滨河东片区保障性租赁住房地块筛选与15分钟生活圈补短板评估,地块权属台账/建筑/租赁样本,筛选+导出+跨表关联,地块权属台账、租赁样本按字段可筛选查询,"EPSG:4547 (CGCS2000 3-Degree Gauss-Kruger Zone, CM 114°E)",房地产、租赁与物业、城市规划师,cn-all-remaining-0822-6a5c9899,
企业运营台账(CRM/合同/采购/项目/库存),5,2/3,智慧园区租赁履约、空间使用与能耗异常联动核查,租赁台账/电表位号/工单记录,筛选+导出+跨表关联,台账、位号趋势、工单均为多系统导出记录,,房地产、租赁与物业；智慧城市管理,cn-all-remaining-0865-515ae739,
企业运营台账(CRM/合同/采购/项目/库存),6,2/3,构建 GSA 交付订单修改生命周期、义务额台账与父 IDV 对账产品,联邦采购合同/订单交易记录,搜索+筛选+详情展开+导出,USAspending含搜索筛选导出记录库,USAspending,联邦采购 / 合同变更控制 / ,cn-all-remaining-1144-8a6c2142,
企业运营台账(CRM/合同/采购/项目/库存),7,3/3,基于脱敏企业产品台账的出口管制暴露识别与供应链风险分级。,企业产品台账/供应商交易记录,筛选+导出+跨表关联,脱敏企业产品与供应商交易台账,,国际政治经济学,cn-all-remaining-0020-aa2698d8,
企业运营台账(CRM/合同/采购/项目/库存),8,3/3,多仓库存盘点差异复核与关账调整建议,仓库-SKU库存与盘点记录,筛选+导出+跨表关联,WMS/ERP库存流水与盘点记录表，可按仓库SKU筛选导出,,    企业经营与战略决策、物流,cn-all-remaining-0405-37b50b73,
企业运营台账(CRM/合同/采购/项目/库存),9,3/3,办公楼精装修工程量、变更与进度款复核,工程量计量签认与变更记录,筛选+导出+跨表关联,分区计量与变更台账，类项目管理系统记录,,建筑、测绘与规划、工程造价人员,cn-all-remaining-0410-7e8ac79d,
企业运营台账(CRM/合同/采购/项目/库存),10,3/3,长三角既有公共建筑结构检测鉴定与加固设计服务市场研究与区域进入建议,项目线索与机构名录,搜索+筛选+导出,线索与脱敏机构名录，类CRM记录,,建筑工程、行业研究（结构工程设计,cn-all-remaining-0414-b2da4750,
企业运营台账(CRM/合同/采购/项目/库存),11,3/3,B2B合同回款、退款与销售佣金结算复核,合同与资金流水,筛选+导出+跨表关联,合同回款佣金台账，类财务系统记录,,企业经营与战略决策—销售主管,cn-all-remaining-0419-94921508,
企业运营台账(CRM/合同/采购/项目/库存),12,3/3,电脑配件采购清单规范化,采购项,筛选+排序+导出,采购项逐条含类目单价，类采购系统记录列表,,采购运营,cn-all-remaining-0494-1a9218c7,
企业运营台账(CRM/合同/采购/项目/库存),13,3/3,客户申请地区字段同步：画布边界与矩形校验,客户申请记录,搜索+筛选+导出,ERP客户申请地区字段，典型企业应用记录列表,,企业应用,cn-all-remaining-0581-e08e758f,
企业运营台账(CRM/合同/采购/项目/库存),14,3/3,采购辅助评审触发与评分契约,采购评审案例(含投标数与评分),筛选+详情展开,"采购案例含开关/投标/评分,像评审平台列表",,采购评审系统,cn-all-remaining-0622-f1aaea49,
企业运营台账(CRM/合同/采购/项目/库存),15,3/3,2024—2026 AR应用开发工程师项目机会、技术栈与产能研究,CRM项目机会/岗位需求记录,搜索+筛选+导出,CRM系统多条同构项目机会与招聘记录,CRM (Customer Relationship Management system),行业研究、AR应用开发工程师,cn-all-remaining-0686-25b0fcd7,
企业运营台账(CRM/合同/采购/项目/库存),16,3/3,住宅项目月度履约偏差诊断、里程碑滚动预测与四周纠偏,计划任务/合同/问题台账,筛选+排序+详情展开+跨表关联+导出,项目管理系统任务列表可筛可排,,房地产、房地产开发项目管理,cn-all-remaining-0702-51ec01fc,
企业运营台账(CRM/合同/采购/项目/库存),17,3/3,600万吨级长流程钢厂短流程改造与低碳竞争力行业研究,生产/能耗/采购月度台账记录,筛选+导出+跨表关联,ERP式月度台账，可按月/项筛选,,行业研究、冶金工程师（钢铁冶金）,cn-all-remaining-0704-e33a4f15,
企业运营台账(CRM/合同/采购/项目/库存),18,3/3,华东事业部Q2销售经营复盘与Q3目标拆解,CRM订单流水与商机记录,搜索+筛选+导出+跨表关联,CRM系统订单与商机为可筛选导出的记录列表,,企业经营与战略决策、销售主管,cn-all-remaining-0731-abeed8dd,
企业运营台账(CRM/合同/采购/项目/库存),19,3/3,2026 Q4 企业客户续约风险诊断与服务资源配置,客户合同/工单记录,筛选+导出+跨表关联,CRM客户合同、工单等多记录台账,,企业经营与战略决策、企业服务专员,cn-all-remaining-0779-2c9670ba,
