排除类别,一致度,任务名,依据,原文点名来源,custom_id
合成夹具,2/2,南丁格尔玫瑰图,data.xlsx为绘图合成数据，无来源系统,,cn-all-remaining-1189-7006e8fd
合成夹具,2/2,三元相图,生态覆盖度数据为合成绘图输入，无来源,,cn-all-remaining-1194-dd6f8e42
合成夹具,2/2,小提琴图与相关性矩阵组合图,Residual_Results.xlsx为合成绘图数据,,cn-all-remaining-1195-54f2007f
合成夹具,2/2,堆叠柱状图与桑基图组合图,分类流向数据为合成绘图输入，无来源,,cn-all-remaining-1196-2e491509
合成夹具,2/2,相关性分析散点图矩阵,data.xlsx为合成绘图数据，无命名来源,,cn-all-remaining-1197-4a071135
合成夹具,2/2,带有误差频率分布直方图的回归拟合图,CMI_Target数据为合成绘图输入，无来源,,cn-all-remaining-1198-b373b9f2
合成夹具,2/2,半圆形堆叠柱状图,暴露量数据为合成绘图输入，无来源系统,,cn-all-remaining-1199-e7996860
合成夹具,2/2,PCoA 主坐标分析图,丰度表为合成绘图数据，无命名来源,,cn-all-remaining-1200-c90ef7d2
合成夹具,2/2,多区域特征重要性与 SHAP 值分布组合图,多区域犯罪数据为合成绘图输入，无来源,,cn-all-remaining-1201-fc3a4bbf
合成夹具,2/2,环形柱状图,基因数值表为合成绘图数据，无来源,,cn-all-remaining-1202-7e1e5e56
合成夹具,2/2,雷达图,radar_data为合成绘图数据，无命名来源,,cn-all-remaining-1203-5b6e49c8
合成夹具,2/2,环形堆叠图+折线图组合图,data.xlsx无命名来源系统，纯画图素材,,cn-all-remaining-1205-8acb751d
合成夹具,2/2,XGBoost SHAP 因子摘要图与特征贡献极坐标玫瑰图组合图,simulated_data.xlsx明示合成,,cn-all-remaining-1207-4ddc2ebe
合成夹具,2/2,多重检验环形图,data.xlsx无命名来源系统,,cn-all-remaining-1209-1dea3a30
合成夹具,2/2,特征-目标相关性网络图,mock_data.xlsx明示合成数据,,cn-all-remaining-1210-a58d9793
合成夹具,2/2,模型性能评估扇形泰勒图,data.xlsx无命名来源系统,,cn-all-remaining-1212-d016f772
合成夹具,2/2,三维柱状图绘制,data.xlsx无命名来源系统,,cn-all-remaining-1213-3f5d52a4
合成夹具,2/2,径向小提琴图,simulated_violin_data明示合成,,cn-all-remaining-1214-6b102c6b
合成夹具,2/2,特征相关性热图与因子分析载荷连接图,data.xlsx无命名来源系统,,cn-all-remaining-1215-77d24289
合成夹具,2/2,三元散点图绘制,simulated_data.xlsx明示合成,,cn-all-remaining-1216-f7ebfcc5
合成夹具,2/2,环形云雨图绘制,Data.xlsx无命名来源系统,,cn-all-remaining-1217-82cfac32
合成夹具,2/2,弧状条形图与堆叠条形图组合图,本地F盘xlsx裸文件Category/Value无来源系统线索,,cn-all-remaining-1228-f66c0ac7
合成夹具,2/2,雷达气泡图绘制,本地F盘xlsx省份面积产量裸数据无仓库线索,,cn-all-remaining-1229-60e5c90c
合成夹具,2/2,特征相关性热图与因子分析载荷连接图,本地E盘xlsx多数值特征列无来源系统线索,,cn-all-remaining-1231-6002aecb
合成夹具,2/2,SHAP 依赖图与 PDP 及数据分布直方图复合图,本地F盘xlsx特征与目标列为建模用裸数据,,cn-all-remaining-1232-ff5c39e1
合成夹具,2/2,分组线性拟合图绘制,本地F盘xlsx分组GST/LST裸数据无来源线索,,cn-all-remaining-1237-0b90a276
合成夹具,2/2,分组散点图与边缘分布图,当前目录xlsx地表地面温度裸数据无来源线索,,cn-all-remaining-1238-8fc3385c
合成夹具,2/2,分组散点回归拟合图与残差分析图,当前目录xlsx X/Y/Group回归裸数据无来源线索,,cn-all-remaining-1239-76250601
合成夹具,2/2,分组棒棒糖图绘制,配色方案演示用棒棒糖图数据，非真实系统记录,,cn-all-remaining-1242-e9bec0dd
合成夹具,2/2,环形柱状图绘制,配色方案演示用环形柱状图数据，非真实来源,,cn-all-remaining-1243-1f46d838
合成夹具,2/2,特征-目标相关性扇形热图,配色方案演示用扇形热图数据，非可浏览系统,,cn-all-remaining-1245-c87e5086
合成夹具,2/2,多层圆环图绘制,配色方案演示用多层圆环图数据，非真实来源,,cn-all-remaining-1247-ac608d05
合成夹具,2/2,多组标准化回归系数环形热图绘制,配色方案演示用回归花瓣图数据，非真实来源,,cn-all-remaining-1263-160345b6
合成夹具,2/2,变量相关热图与 Mantel 检验网络图,配色方案演示用相关热图/Mantel数据，非真实来源,,cn-all-remaining-1268-a320b58e
合成夹具,2/2,三维填充面积图绘制,场景水位为出题编造数据，无源系统,,cn-all-remaining-1273-3edac745
合成夹具,2/2,三维瀑布图绘制,文件名simulated明示合成光谱数据,,cn-all-remaining-1274-803308df
合成夹具,2/2,环形柱状图绘制,模型对比表为出题编造，无源系统,,cn-all-remaining-1275-686e277b
合成夹具,2/2,三维堆叠图绘制,文件名simulated_data明示合成矩阵,,cn-all-remaining-1277-99e5435c
合成夹具,2/2,SHAP 交互特征网络图绘制,文件名mock_data明示合成特征表,,cn-all-remaining-1279-7e6fa4f7
合成夹具,2/2,Spearman 相关性矩阵气泡图,变量表为出题编造，无源系统,,cn-all-remaining-1282-2e716750
合成夹具,3/3,多年份变量相关性热图与中心目标连接图,"配色方案编号+裸文件+压缩包,系出题合成夹具",,cn-all-remaining-1289-259f60fe
合成夹具,3/3,和弦图,"配色方案编号+裸文件+压缩包,系出题合成夹具",,cn-all-remaining-1290-fb1f206b
合成夹具,2/3,睡眠特征与脑区相关性环形热图,"配色方案编号+裸文件+压缩包,系出题合成夹具",,cn-all-remaining-1292-3e9376c4
合成夹具,2/3,多模型平滑雷达图绘制,"配色方案编号+裸文件+压缩包,系出题合成夹具",,cn-all-remaining-1296-5bbf448c
合成夹具,2/3,百分比饼图与环形堆叠图组合图,"60套配色方案编号+裸文件,系出题合成夹具",,cn-all-remaining-1297-ccb981d8
合成夹具,3/3,变量散点图矩阵与相关性热图组合图,"配色方案编号+裸文件+压缩包,系出题合成夹具",,cn-all-remaining-1298-1d290edf
合成夹具,3/3,带有边缘分布密度的多组回归拟合图,"配色/样式/标记编号+裸文件,系出题合成夹具",,cn-all-remaining-1299-ae3c648c
生物力学建模,3/3,基于 OpenSim 4.3 的最大速度短跑支撑期下肢动力学审计与技术限制因子判定,真实.osim/.trc/.mot工程文件与流程,OpenSim 4.3,cn-all-remaining-0012-3f9dd525
生物力学建模,3/3,基于 OpenSim 4.3 输出的短跑干预研究可复现统计分析与论文结果包生成,输入为OpenSim真实输出型数据,OpenSim 4.3,cn-all-remaining-0014-ae2a0ad8
生物力学建模,3/3,基于 OpenSim 4.3 的短跑动力学指标测试-重测可靠性、测量误差与科研结局变量筛选,输入为OpenSim输出格式非合成数据,OpenSim 4.3,cn-all-remaining-0015-c1b61c11
生物力学建模,2/2,OpenSim 4.5.1 途中跑单步支撑外部力学有效性分析,.osim模型与运动学/GRF派生数据,OpenSim 4.5.1,cn-all-remaining-0031-b2b5d783
生物力学建模,2/2,途中跑前摆事件格状态转移、双向闭合与下一支撑准备度分析,OpenSim模型、坐标时序与派生GRF,OpenSim 4.5,cn-all-remaining-0032-4d3edeb8
生物力学建模,2/2,OpenSim 4.5 最大速度途中跑支撑末期推进、离地状态与早期回收边界分析,OpenSim scaled模型与合成GRF分析,,cn-all-remaining-0034-ca542016
生物力学建模,2/2,短跑起跑后第一步外部推进与第二至第三步衔接的双向闭合、分组反证与跨扰动迁移分析,OpenSim Analyze Tool半合成运动学重建,,cn-all-remaining-0036-45b77900
生物力学建模,3/3,短跑途中跑下压阶段多证据链双向验证分析,osim模型与运动学派生数据,OpenSim,cn-all-remaining-0041-c6549c75
生物力学建模,2/2,OpenSim 4.5 短跑起跑加速期单步态周期下肢生物力学分解与技术诊断分析,OpenSim 4.5 IK/缩放模型/.osim工程文件，逆动力学分析,OpenSim 4.5,cn-all-remaining-0094-f32031a4
生物力学建模,2/2,短跑途中跑（最大速度期）单步态周期下肢生物力学分解与刚度-力施加技术分析,OpenSim逆运动学与InverseDynamicsTool生成的STO文件,OpenSim 4.5,cn-all-remaining-0095-8f5537c0
生物力学建模,2/2,短跑途中跑多层处理稳健性、根部残差相位归因与可报告性证据裁决,同一运动员OpenSim IK/TRC/scaled model与候选ID STO,,cn-all-remaining-0096-b45060b6
生物力学建模,2/2,短跑途中跑单记录片段多证据时空组织、状态闭合与分辨率审计,OpenSim 4.5 IK、标记点轨迹、缩放肌骨模型派生数据,OpenSim 4.5,cn-all-remaining-0097-f836cdfa
生物力学建模,2/2,短跑加速单试次派生 GRF—骨盆运动学连续时间双向状态重建、处理路径归因与可辨识性审计,既有OpenSim ik.mot/derived_grf.sto表格，工程文件产物,OpenSim,cn-all-remaining-0098-da2ff8ac
生物力学建模,2/2,短跑起跑加速期多步态身体构型、关节协调拓扑与跨试次稳健性分析,OpenSim IK、标记点轨迹、每条记录配对的缩放模型,OpenSim,cn-all-remaining-0099-d5e10074
生物力学建模,2/2,短跑起跑加速期触地落点—躯干前倾的模型—物理—鲁棒性三层闭合分析,原文点名OpenSim桌面应用，.osim/.mot工程文件,OpenSim,cn-all-remaining-0131-17b02b87
生物力学建模,2/2,短跑起跑加速期连续步触地构型与时空递进双向闭合验证分析,OpenSim模型/IK/GRF/TRC，无网站,,cn-all-remaining-0137-9ebb5d85
生物力学建模,2/2,短跑起跑加速期派生支撑窗口触地足位与躯干抬升演进判定,OpenSim模型/IK/GRF/TRC，无网站,,cn-all-remaining-0140-b00e71e8
生物力学建模,2/2,短跑起跑加速期连续步触地构型、边界状态重建与处理多机制可识别性分析,OpenSim BodyKinematics、TRC标记、动捕派生产物,,cn-all-remaining-0214-53980c22
生物力学建模,2/2,短跑起跑加速期派生支撑窗口的多估计器趋势、事件时钟竞争、双向状态重建,同为OpenSim支撑窗口运动学重建分析,,cn-all-remaining-0216-24153bc9
生物力学建模,2/2,起跑早期连续六步支撑身体投射、姿态抬升与触地组织状态转移分析,OpenSim缩放/IK生成的.osim/.mot工程文件,OpenSim,cn-all-remaining-0309-1e15e796
生物力学建模,2/2,加速跑支撑-腾空-下一触地连续链离地投射、摆动回收与再触地准备分析,OpenSim缩放/IK生成的.osim/.mot工程文件,OpenSim,cn-all-remaining-0310-0e213c96
生物力学建模,2/2,最大速度阶段途中跑完整摆动腿回收、前摆展开与触地前足速匹配分析,OpenSim缩放/IK生成的.osim/.mot工程文件,OpenSim,cn-all-remaining-0311-a71a28cc
生物力学建模,2/2,最大速度阶段途中跑触地前 120 ms 至支撑前 25% 足部回扒、胫骨定向与早期碰撞代理边界分析,OpenSim缩放/IK生成的.osim/.mot工程文件,OpenSim,cn-all-remaining-0312-ad59def1
生物力学建模,2/2,最大速度阶段途中跑全身三维反向摆动协调、角动量代理分解与跨周期稳定性分析,OpenSim缩放/IK生成的.osim/.mot工程文件,OpenSim,cn-all-remaining-0313-3b7b6938
生物力学建模,2/2,起跑预备姿势多定义状态集合、出口条件化评优与部分可识别性分析,OpenSim TRC/IK MOT/.osim动捕建模文件,OpenSim,cn-all-remaining-0372-39b7fe89
生物力学建模,2/2,起跑启动至双脚离地双时间事件竞争、出口状态评优与预测归因分析,OpenSim TRC/IK MOT/.osim动捕建模文件,OpenSim,cn-all-remaining-0373-d92411f3
生物力学建模,2/2,起跑加速第一腾空与第一触地准备多层构型及双向边界闭合分析,OpenSim TRC/IK MOT/.osim动捕建模文件,OpenSim,cn-all-remaining-0374-fe737fbf
生物力学建模,2/2,起跑加速第一支撑几何转换点竞争、四路径状态重建、步速守恒归因与上游根因去重分析,OpenSim TRC/IK MOT/.osim动捕建模文件,OpenSim,cn-all-remaining-0375-cecf3fe5
生物力学建模,2/2,连续加速步状态转移、趋势模型竞争、突变/交替稳定性分析,OpenSim TRC/IK MOT/.osim动捕建模文件,OpenSim,cn-all-remaining-0376-2bcc381d
生物力学建模,2/2,途中跑/最大速度候选步态单腿回收事件竞争、时间预算与下游速度闭合分析,动捕服务器记录与步态事件派生指标,,cn-all-remaining-0427-1a2f2c02
生物力学建模,2/2,途中跑/最大速度候选步态前摆出口状态、多层相位耦合与触地入口闭合分析,动捕记录关键帧与相位耦合派生指标,,cn-all-remaining-0428-cf6a351c
生物力学建模,2/2,途中跑/最大速度候选步态下压与触地准备多足参考、触地链反事实及早期支撑闭合分析,动捕记录触地链与支撑相位派生指标,,cn-all-remaining-0430-e756a0ff
生物力学建模,2/2,途中跑/最大速度候选步态前支撑几何转换点竞争、身体承接与四路径状态重建分析,动捕记录前支撑几何转换点派生指标,,cn-all-remaining-0432-17cae668
生物力学建模,2/2,途中跑/最大速度候选步态后支撑/离地准备重新伸展时序、出口状态与下一循环闭合分析,真实服务器动捕/力台事件时序，非仓库型网站,,cn-all-remaining-0434-09bdddd7
生物力学建模,2/2,途中跑/最大速度候选步态腾空全身层重叠事件图、腿交换与下一触地重定位分析,真实服务器腾空期动捕事件重叠图，非网站数据,,cn-all-remaining-0436-8f2d8149
生物力学建模,2/2,短跑连续步条件稳健残差、多模型嵌套验证与异常可识别性审计,OpenSim的osim/mot工程文件与派生量,OpenSim,cn-all-remaining-0496-fc8160a4
生物力学建模,2/2,短跑多指标稳健协方差、马氏距离贡献守恒与联合状态域外审计,OpenSim的osim/mot工程文件与派生量,OpenSim,cn-all-remaining-0497-f44c1602
生物力学建模,2/2,短跑多关节整周期 MFPCA、训练折内函数标准化与模态稳定性分析,输入为TRC/IK MOT/scaled OSIM工程文件,OpenSim,cn-all-remaining-0498-e22b368f
生物力学建模,2/2,短跑三周期 Fourier 基函数压缩、阶数选择与跨频率/相位不变量分析,输入为TRC/IK MOT/scaled OSIM工程文件,OpenSim,cn-all-remaining-0499-f0b227f8
生物力学建模,2/2,短跑周期曲线相位差异、试次内连续速度效应与功能混合模型可识别性分析,输入为TRC/IK MOT/scaled OSIM工程文件,OpenSim,cn-all-remaining-0500-5a63c6f7
生物力学建模,2/2,途中跑摆动链连续相对相位、多时钟耦合与稳健评分分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0501-29fe7995
生物力学建模,2/2,触地准备与支撑链主导模式、突变与转换矩阵分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0502-7f719b5c
生物力学建模,2/2,前摆—下压及支撑—回收双转移时滞互相关、相位同步与替代检验分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0503-d5a09c46
生物力学建模,2/2,不同动作相位转移入口正则化 CCA、嵌套来源档案留出与转移兼容性分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0504-94a7394f
生物力学建模,2/2, 不同动作相位下多通道功能 PLS、嵌套来源试次留出与下游步速关联分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0505-467c6f39
生物力学建模,2/2,起跑连续加速步低维状态空间、嵌套模型竞争与异常转移分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0506-090a089f
生物力学建模,2/2,连续途中跑候选策略 HMM、切换动力学、标签对齐与模式可识别性分析,输入为TRC/IK/scaled OSIM及GRF proxy文件,OSIM,cn-all-remaining-0507-8754c588
生物力学建模,3/3,基于缩放肌骨模型与 IK 运动学的最大速度途中跑无量纲步态组织及速度闭合分析,原文点名OpenSim，.osim/.mot工程文件,OpenSim,cn-all-remaining-0992-b521b79a
生物力学建模,3/3,基于 IK 运动学与派生接触锚点的最大速度途中跑相邻步速度变化及步长—步频贡献分解,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0993-789beed7
生物力学建模,3/3,基于缩放肌骨模型几何的短跑腿长尺度归一及跨试次运动学离散检验,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0994-79906829
生物力学建模,3/3,基于 IK—TRC 同步运动学的最大速度途中跑触地前摆动腿回收几何与模型尺度关联分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0995-02bb9017
生物力学建模,3/3,基于无量纲运动学构念的途中跑记录内速度条件化接触—摆动技术组合分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0997-7c74ee4d
生物力学建模,3/3,基于预注册无量纲运动学特征的短跑步态策略确定性聚类与稳定性拒绝检验,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0998-93dd6a17
生物力学建模,3/3,基于无量纲步长—步频—竖直振荡点云的途中跑局部可行边界与退化几何分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-0999-c1768da5
生物力学建模,3/3,基于触地前足端任务空间匹配的途中跑髋膝踝关节构型多解与卡尺敏感性分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-1003-9c1027c0
生物力学建模,3/3,基于严格时序隔离与留一试次验证的途中跑早期摆动状态及触地准备预测分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-1004-d73aa457
生物力学建模,3/3,基于高采样 K 层内部参考与零相位抗混叠的短跑时空指标可辨识边界分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-1005-e06b5f6c
生物力学建模,3/3,基于 OpenSim 4.5 的短跑途中跑单步态周期下肢三节段仰角协变与分相协调重组分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-1006-ace7a744
生物力学建模,3/3,基于 OpenSim 4.5 的短跑途中跑单步态周期有效腿长—扫掠角状态环、滞回结构与周期间重复性分析,osim/trc/mot工程文件，肌骨建模数据,OpenSim,cn-all-remaining-1007-cbbd3d00
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑摆动期足尖净空轨迹、足部回收高度与末段接近边界分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim,cn-all-remaining-1008-661e29af
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑触地准备期足段姿态、足端接近向量与转换时序分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim,cn-all-remaining-1009-f8c1bb06
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑触地准备期足端回拉—下降速度耦合、峰值时序与周期稳定性分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim,cn-all-remaining-1010-9e7d19d9
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑摆动期足端轨迹曲率、回转结构与路径直接性分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1011-9cd58d92
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑髋—膝—踝解析运动链对足端速度的 Jacobian 贡献分解与闭合残差诊断,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1012-dc4ca80e
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑触地准备期多足部参考点定义敏感性、事件一致性与结论稳健性分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1013-1c894eb2
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑触地前后胫骨倾角—足段姿态—足端位置联合状态迁移与越零时序分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1014-8fb09ede
生物力学建模,2/2,基于 OpenSim 4.5 的短跑途中跑双腿剪刀式交换的膝—踝—足多层级越零时序与任务空间几何分析,输入为scaled OSIM模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1015-c335be65
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步躯干—骨盆—腰骶三层姿态协调、相位耦合与表示一致性分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1016-2f43b66f
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步头—颈—躯干双定义姿态波动、限位占用与敏感性分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1017-178c3b2b
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步髋—膝—踝方向性角速度峰序、时距与重复性分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1018-56796b62
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步大腿—小腿相位路径、方向状态转换与拓扑重复性分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1019-46dfd4ff
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步骨盆前进—竖直振荡耦合、轨迹闭环与表示一致性分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1020-22cf57f2
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步上下肢对侧反向旋转、时滞结构与同侧对照分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1021-1a5aac7b
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步左右肢幅度—时序配对、非交替拒绝与不对称象限分析,输入为scaled OpenSim模型、TRC、IK MOT工程文件,OpenSim 4.5,cn-all-remaining-1022-838b3c36
生物力学建模,2/2,基于OpenSim 4.5的短跑连续周期分段配准、多通道波形距离与代表周期分析,OpenSim scaled模型+TRC+IK运动学派生分析,OpenSim 4.5,cn-all-remaining-1023-40863b44
生物力学建模,2/2,基于OpenSim 4.5的短跑连续周期侧别中心化序列稳健趋势、早晚差、质量混杂与单变点边界分析,同一批OpenSim/TRC/IK生物力学记录,OpenSim 4.5,cn-all-remaining-1024-e0d5ca83
生物力学建模,2/2,基于OpenSim 4.5的短跑连续步下一同侧代理接触起始构型的分组嵌套 Ridge 预测、双基线比较与特征消融分析,OpenSim proxy运动学特征预测建模,OpenSim 4.5,cn-all-remaining-1025-40f44bd5
生物力学建模,2/2,多阶段分析流水线的数据链完整性重建与结果资格分层审计,审计OpenSim运动学动力学流水线产物,,cn-all-remaining-1026-123158fd
生物力学建模,2/2,多版本目录漂移下的逻辑文件角色发现、内容去重与歧义裁决,发现OSIM/TRC/GRF等生物力学文件角色,OpenSimDocument,cn-all-remaining-1027-651a1bb4
生物力学建模,2/2,多源时序数据的时间轴一致性审计与无外推重采样决策,审计TRC/IK/GRF运动学时间轴对齐,,cn-all-remaining-1028-e4a02293
生物力学建模,2/2,多格式数据文件的结构完整性、数值有效性与可移植引用审计,校验TRC/OSIM/XML工程文件结构,,cn-all-remaining-1029-d4bc99ad
生物力学建模,2/2,结构化模型文件的拓扑一致性、参数指纹与重复版本分层审计,审计scaled OSIM模型拓扑与参数,OpenSim,cn-all-remaining-1030-f5a56da3
生物力学建模,2/2,异构字段映射的命名兼容性、空值模式与配置引用联合诊断,联合校验TRC与OSIM字段兼容性,,cn-all-remaining-1031-e0378e8c
生物力学建模,2/2,流程成功状态与数值质量冲突下的四层质量门控与结果可用性判定,审计marker_error/IK/geometry质量门,,cn-all-remaining-1032-afa0646c
生物力学建模,2/2,上游质量警告与下游拟合误差的描述性关系及小样本推断边界分析,关联IK拟合与几何QC描述统计,,cn-all-remaining-1033-da2105bb
生物力学建模,2/2,双阶段配置漂移、类型保真与字段流向追溯审计,审计OpenSim流水线TOML配置漂移,,cn-all-remaining-1034-5076252b
生物力学建模,2/2,多采样率时序信号平滑窗口的物理时间等价性、合法窗长反算与配置有效性审计,审计OpenSim平滑窗口配置时长,,cn-all-remaining-1035-cea90978
生物力学建模,2/2,生物力学多模态数据包的源文件溯源、分层 SHA-256 证据链与完整性审计,OpenSim多模态文件溯源哈希审计,OpenSim,cn-all-remaining-1036-190a37ec
生物力学建模,2/2,人体生物力学模型的字节—拓扑—参数三级重复性判别与试次绑定分析,OSIM模型字节拓扑参数指纹比对,OpenSim,cn-all-remaining-1037-e0ff9cc4
生物力学建模,2/2,人体运动学数据的单位、坐标语义、代理力轴与双侧一致性诊断,"OSIM/TRC/IK工程文件,非网站数据",OpenSim,cn-all-remaining-1038-e267339a
生物力学建模,2/2,生物力学 K/E/D 分层证据体系下二十类科学主张的可支持性与禁止推断边界分析,"OSIM/IK/GRF派生证据,非网站",,cn-all-remaining-1039-fc34876b
生物力学建模,2/2,多模态人体运动数据面向八类生物力学构念的逐任务分析资格与降级门控,"OSIM动捕IK工程文件,无网站界面",OpenSim,cn-all-remaining-1040-7b076b3a
生物力学建模,2/2,合成地面反力代理信号的接触事件确定性重建、归一化波形与二十七情景规则敏感性分析,"合成GRF代理信号,工程文件非网站",,cn-all-remaining-1041-c4d4364e
生物力学建模,2/2,合成地面反力代理信号的接触事件确定性重建、归一化波形与二十七情景规则敏感性分析,"同783,GRF工程文件非网站",,cn-all-remaining-1042-b1c822c2
生物力学建模,2/2,生物力学模型派生动力学产物的上下文完整性、有效步数与十二类分析请求拒绝边界,"IK/ID派生动力学产物,非网站",,cn-all-remaining-1043-18f78780
生物力学建模,2/2,缺失模态生物力学数据面向十二类分析请求的可挽救性分级与禁止跨记录补全审计,OSIM/TRC/GRF缺失模态审计,,cn-all-remaining-1044-4d51104f
生物力学建模,2/2,生物力学候选记录在预算约束下的多门资格筛选、多样性选择与十组权重敏感性分析,"OSIM动捕候选记录,工程文件",OpenSim XML,cn-all-remaining-1045-5899466e
生物力学建模,2/2,三类生物力学数据包的归档安全、自包含依赖、完整性与科学证据边界审计,OSIM/ExternalLoads包安全审计,OSIM,cn-all-remaining-1046-5ee2b39a
生物力学建模,2/2,非有限数值的最早故障节点与可证传播血缘,OSIM/TRC/MOT/日志故障取证,OSIM,cn-all-remaining-1047-574583e9
生物力学建模,2/2,TOML二次序列化方言的安全解析、类型保真与 Schema 往返闭合,生物力学pipeline的TOML配置,,cn-all-remaining-1048-c591344c
生物力学建模,2/2,Legacy 事件数组与 Refined Pairs 的拓扑、数值及 Authority 一致性审计,"kinetics_raw事件数组,GRF产物",,cn-all-remaining-1049-d95e26d6
生物力学建模,2/2,内容时间字段、偏序 DAG 与时钟域可信性联合审计,"TRC/OSIM时间戳溯源,工程文件",,cn-all-remaining-1050-3c8b881b
生物力学建模,2/2,逐指标空值分母、边界权重、P95/CV 与发布汇总公式指纹复算,"kinetics JSON汇总复算,GRF数据",,cn-all-remaining-1051-20e2a392
生物力学建模,2/2,多源质量字段、OSIM Body 汇总与归一化除数污染血缘,OSIM Body mass与GRF血缘审计,OSIM,cn-all-remaining-1052-5af33928
生物力学建模,2/2,Legacy/Refined 多特征方言签名、公共视图与信息损失审计,kinetics_raw.json为运动学/动力学派生产物，非仓库数据,,cn-all-remaining-1053-9f8259c5
生物力学建模,2/2,报告内嵌 JSON 快照与独立资产的 Schema-Aware 递归版本偏斜,joint_moments/kinetics json为生物力学派生产物,,cn-all-remaining-1054-83ab11e1
生物力学建模,2/2,Record-Step 事件细化三态真值表、部分成功语义与下游准入,joint_moments三份json为逆动力学派生结果,,cn-all-remaining-1055-0722dc39
生物力学建模,2/2,IK 通道退化、OSIM 边界占用、平台时长与假稳定可辨识性,IK MOT与OSIM工程文件，原文点名OpenSim,OSIM,cn-all-remaining-1056-6d97d9bf
生物力学建模,2/2,OpenSim XML 40600 CustomJoint旋转节点序列、坐标引用闭合与IK覆盖审计,OSIM XML模型文件，原文点名OpenSim,OpenSim,cn-all-remaining-1057-cde087f5
生物力学建模,2/2,OpenSim XML 40600 单坐标多轴函数树依赖闭合、节点域占用与规范序列化审计,OSIM函数树XML，原文点名OpenSim,OpenSim,cn-all-remaining-1058-16405e1c
生物力学建模,2/2,OpenSim XML 40600 Coordinate边界–SimmSpline共同定义域错位、连续越域段与输入准入审计,OSIM与MOT时序域交集，原文点名OpenSim,OpenSim,cn-all-remaining-1059-9a9ee5b0
生物力学建模,2/2,OpenSim XML 40600 左右 ankle TransformAxis、Frame与函数符号不变的镜像合同审计,OSIM关节镜像审计，原文点名OpenSim,OpenSim,cn-all-remaining-1060-60336010
